ANO,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,TYPE,LAT,LONG
2017,2,0,0,3,2,2,3,28,88,440,972,406,Amapá,1.41,-51.77
2018,14,1,0,1,1,3,4,38,123,571,450,0,Amapá,1.41,-51.77
2019,4,0,0,0,0,0,4,21,138,540,503,67,Amapá,1.41,-51.77
2020,2,1,1,0,0,3,2,16,84,527,76,38,Amapá,1.41,-51.77
2021,0,1,1,0,0,4,5,19,137,401,103,5,Amapá,1.41,-51.77
2022,8,1,1,2,1,1,5,37,199,97,0,0,Amapá,1.41,-51.77
2017,46,27,20,28,35,66,461,558,491,40,164,69,Santa Catarina,-27.33,-49.44
2018,9,48,22,150,77,52,161,574,126,74,53,71,Santa Catarina,-27.33,-49.44
2019,41,10,22,12,3,104,189,939,272,68,63,81,Santa Catarina,-27.33,-49.44
2020,35,36,132,308,286,102,89,977,203,172,69,16,Santa Catarina,-27.33,-49.44
2021,5,63,68,199,181,26,481,843,271,20,108,86,Santa Catarina,-27.33,-49.44
2022,42,80,30,76,87,40,230,425,69,31,0,0,Santa Catarina,-27.33,-49.44
2017,14,7,9,7,9,23,3,26,31,46,12,0,Espírito Santo,-19.19,-40.34
2018,6,1,9,7,4,12,41,9,51,36,11,18,Espírito Santo,-19.19,-40.34
2019,25,32,22,21,10,19,78,35,171,73,123,13,Espírito Santo,-19.19,-40.34
2020,10,11,6,8,11,51,34,25,131,82,10,22,Espírito Santo,-19.19,-40.34
2021,44,13,45,25,47,26,85,92,123,38,9,2,Espírito Santo,-19.19,-40.34
2022,11,5,25,21,26,53,57,85,87,2,0,0,Espírito Santo,-19.19,-40.34
2017,213,14,18,42,121,486,3696,8781,15735,6146,9639,4879,Pará,-5.53,-52.29
2018,536,36,51,13,78,454,929,2782,4892,5028,6276,1005,Pará,-5.53,-52.29
2019,355,80,46,38,80,315,1443,10185,4618,3870,7390,1745,Pará,-5.53,-52.29
2020,225,64,63,38,88,491,2687,10865,10876,8052,2970,2184,Pará,-5.53,-52.29
2021,248,272,34,55,190,424,1372,7853,3828,4291,3659,650,Pará,-5.53,-52.29
2022,202,70,34,37,225,556,1681,12472,12696,1647,0,0,Pará,-5.53,-52.29
2017,82,19,28,23,45,142,510,1257,2192,2342,552,465,Piauí,-8.28,-43.68
2018,84,8,43,11,118,382,1067,2479,2678,1641,591,329,Piauí,-8.28,-43.68
2019,115,35,46,25,67,340,561,2117,3137,2671,1211,569,Piauí,-8.28,-43.68
2020,47,38,28,35,54,148,511,919,2772,3437,880,448,Piauí,-8.28,-43.68
2021,79,42,32,60,169,473,868,2350,5106,2652,682,232,Piauí,-8.28,-43.68
2022,70,34,17,35,178,256,561,1659,2731,1679,0,0,Piauí,-8.28,-43.68
2017,150,91,160,91,124,213,234,809,1146,3144,222,66,Bahia,-12.96,-38.51
2018,102,45,126,71,101,190,281,477,1930,1345,169,119,Bahia,-12.96,-38.51
2019,212,432,475,141,142,186,337,542,1896,1783,924,301,Bahia,-12.96,-38.51
2020,164,153,92,98,95,244,341,437,1918,3666,447,257,Bahia,-12.96,-38.51
2021,220,96,530,180,447,367,732,1470,6491,3630,135,61,Bahia,-12.96,-38.51
2022,149,137,233,108,396,632,530,947,2770,1455,0,0,Bahia,-12.96,-38.51
2017,38,16,19,6,1,1,0,1,4,12,11,20,Alagoas,-9.71,-35.73
2018,17,16,13,2,0,6,0,12,7,52,41,35,Alagoas,-9.71,-35.73
2019,32,9,11,5,5,3,2,6,12,20,60,67,Alagoas,-9.71,-35.73
2020,45,21,12,5,1,0,3,5,4,25,10,28,Alagoas,-9.71,-35.73
2021,21,37,34,24,1,0,0,2,8,15,20,11,Alagoas,-9.71,-35.73
2022,19,29,24,3,3,0,1,0,12,1,0,0,Alagoas,-9.71,-35.73
2017,52,24,9,8,13,4,1,18,54,216,91,73,Pernambuco,-8.28,-35.07
2018,35,7,8,5,2,13,6,35,95,215,186,115,Pernambuco,-8.28,-35.07
2019,67,9,15,11,12,5,5,14,76,204,246,176,Pernambuco,-8.28,-35.07
2020,105,36,14,11,2,10,16,18,128,270,214,193,Pernambuco,-8.28,-35.07
2021,63,59,47,25,3,19,14,41,156,367,278,120,Pernambuco,-8.28,-35.07
2022,47,29,10,5,13,5,11,35,171,89,0,0,Pernambuco,-8.28,-35.07
2017,322,146,164,69,69,150,817,1159,2084,541,136,80,Mato Grosso do Sul,-20.51,-54.54
2018,47,50,163,94,100,131,333,442,642,124,56,198,Mato Grosso do Sul,-20.51,-54.54
2019,542,290,159,70,113,397,748,2430,3210,2310,1243,141,Mato Grosso do Sul,-20.51,-54.54
2020,226,250,575,813,355,508,1305,2508,3097,1949,299,195,Mato Grosso do Sul,-20.51,-54.54
2021,44,136,129,193,215,257,916,2646,2739,1695,205,202,Mato Grosso do Sul,-20.51,-54.54
2022,205,182,106,100,333,191,443,230,245,20,0,0,Mato Grosso do Sul,-20.51,-54.54
2017,30,12,17,8,1,0,0,0,0,0,1,8,Sergipe,-10.9,-37.07
2018,14,18,22,13,1,2,2,5,2,16,16,29,Sergipe,-10.9,-37.07
2019,31,13,12,2,4,0,0,0,0,1,2,16,Sergipe,-10.9,-37.07
2020,29,9,5,6,5,0,0,1,0,4,3,15,Sergipe,-10.9,-37.07
2021,12,31,56,8,1,2,0,0,0,5,7,10,Sergipe,-10.9,-37.07
2022,5,12,27,2,14,2,0,1,4,0,0,0,Sergipe,-10.9,-37.07
2017,0,4,0,1,9,39,362,1318,3100,1350,102,10,Acre,-8.77,-70.55
2018,0,2,1,5,14,41,381,1368,4379,407,26,2,Acre,-8.77,-70.55
2019,1,1,2,6,33,60,272,3051,2977,354,44,1,Acre,-8.77,-70.55
2020,16,0,1,4,39,71,335,3578,3357,1652,129,11,Acre,-8.77,-70.55
2021,5,0,3,7,30,50,433,3185,3982,1118,14,1,Acre,-8.77,-70.55
2022,24,3,0,6,33,71,313,2638,6693,564,0,0,Acre,-8.77,-70.55
2017,43,15,23,20,29,152,1007,3249,4568,1726,423,58,Rondônia,-11.22,-62.8
2018,15,7,28,7,41,148,769,1975,6034,986,198,47,Rondônia,-11.22,-62.8
2019,33,22,28,26,50,170,780,5593,3644,556,263,65,Rondônia,-11.22,-62.8
2020,56,39,38,33,58,138,428,3087,4202,2413,509,144,Rondônia,-11.22,-62.8
2021,47,16,19,16,91,131,836,4319,2636,1763,125,31,Rondônia,-11.22,-62.8
2022,80,17,17,24,136,106,555,3512,5354,429,0,0,Rondônia,-11.22,-62.8
2017,1,0,0,1,6,5,28,118,77,51,0,0,Distrito Federal,-15.83,-47.86
2018,0,0,0,0,2,1,29,15,41,0,0,0,Distrito Federal,-15.83,-47.86
2019,4,1,0,0,0,6,30,29,116,27,0,0,Distrito Federal,-15.83,-47.86
2020,2,2,0,5,5,11,25,22,83,39,1,1,Distrito Federal,-15.83,-47.86
2021,0,0,0,4,9,10,38,50,141,7,0,0,Distrito Federal,-15.83,-47.86
2022,0,0,6,4,14,17,60,55,85,1,0,0,Distrito Federal,-15.83,-47.86
2017,12,24,8,11,16,41,59,124,439,182,39,4,Rio de Janeiro,-22.84,-43.15
2018,4,0,5,2,7,32,74,29,65,13,2,13,Rio de Janeiro,-22.84,-43.15
2019,36,21,3,0,18,47,141,157,208,70,5,6,Rio de Janeiro,-22.84,-43.15
2020,7,10,6,10,26,40,130,162,237,52,9,4,Rio de Janeiro,-22.84,-43.15
2021,18,4,16,7,15,25,129,165,105,5,11,2,Rio de Janeiro,-22.84,-43.15
2022,16,4,30,12,20,45,180,181,219,1,0,0,Rio de Janeiro,-22.84,-43.15
2017,57,24,79,161,626,906,1823,2540,6625,2255,496,81,Tocantins,-10.25,-48.25
2018,97,16,64,127,599,914,1321,1361,1796,1371,201,166,Tocantins,-10.25,-48.25
2019,84,78,82,209,690,1406,1598,2916,4505,1462,376,219,Tocantins,-10.25,-48.25
2020,75,77,111,221,446,1188,1361,1714,3977,2192,520,211,Tocantins,-10.25,-48.25
2021,76,56,65,85,851,1149,1794,2757,1785,1213,131,45,Tocantins,-10.25,-48.25
2022,57,62,49,134,1103,1370,1710,2298,2753,886,0,0,Tocantins,-10.25,-48.25
2017,23,8,4,1,1,0,1,2,22,102,114,85,Paraíba,-7.06,-35.55
2018,42,3,3,4,1,1,3,45,70,209,185,193,Paraíba,-7.06,-35.55
2019,42,7,4,0,3,2,4,41,139,332,351,259,Paraíba,-7.06,-35.55
2020,63,16,3,1,0,4,5,50,156,248,181,183,Paraíba,-7.06,-35.55
2021,40,29,10,3,3,11,1,25,105,250,319,111,Paraíba,-7.06,-35.55
2022,19,3,3,0,0,4,3,24,46,31,0,0,Paraíba,-7.06,-35.55
2017,62,21,24,15,33,95,1534,4793,3185,1190,486,247,Amazonas,-3.07,-61.66
2018,46,93,54,14,19,123,1346,2589,4928,1725,472,37,Amazonas,-3.07,-61.66
2019,35,90,114,10,21,57,1371,6668,3026,548,573,163,Amazonas,-3.07,-61.66
2020,197,73,77,12,15,122,2119,8030,4270,1265,374,175,Amazonas,-3.07,-61.66
2021,37,33,17,18,45,74,1173,8588,2799,1773,248,43,Amazonas,-3.07,-61.66
2022,157,18,15,15,81,82,1428,8116,8659,378,0,0,Amazonas,-3.07,-61.66
2017,99,54,99,67,124,233,471,1610,3084,2336,145,61,Minas Gerais,-18.1,-44.38
2018,62,60,107,56,153,201,557,553,1860,840,86,92,Minas Gerais,-18.1,-44.38
2019,142,111,127,85,143,322,808,1369,3833,2049,892,118,Minas Gerais,-18.1,-44.38
2020,80,114,82,83,166,272,536,1155,3467,2404,281,97,Minas Gerais,-18.1,-44.38
2021,96,40,230,150,382,519,1302,1941,5638,1627,140,45,Minas Gerais,-18.1,-44.38
2022,110,66,190,143,319,665,990,1120,2518,260,0,0,Minas Gerais,-18.1,-44.38
2017,46,64,91,58,138,308,433,1109,2155,1858,125,43,Goiás,-16.64,-49.31
2018,54,41,113,74,181,183,405,518,1070,345,36,90,Goiás,-16.64,-49.31
2019,129,88,138,83,134,217,403,698,4149,873,160,88,Goiás,-16.64,-49.31
2020,60,92,124,156,150,314,402,964,1825,1622,229,70,Goiás,-16.64,-49.31
2021,63,89,86,110,255,401,627,1056,2634,576,71,52,Goiás,-16.64,-49.31
2022,69,96,120,124,415,394,553,975,1151,198,0,0,Goiás,-16.64,-49.31
2017,26,31,39,61,41,96,707,633,278,85,139,82,Rio Grande do Sul,-30.01,-51.22
2018,45,72,74,86,108,62,78,707,222,69,47,45,Rio Grande do Sul,-30.01,-51.22
2019,33,48,94,54,26,134,379,1647,523,104,53,101,Rio Grande do Sul,-30.01,-51.22
2020,32,89,227,457,423,158,201,1404,263,196,110,52,Rio Grande do Sul,-30.01,-51.22
2021,54,49,91,229,290,46,504,600,183,167,145,87,Rio Grande do Sul,-30.01,-51.22
2022,174,135,71,56,36,33,106,508,119,82,0,0,Rio Grande do Sul,-30.01,-51.22
2017,21,88,76,37,45,152,616,734,1930,134,35,34,São Paulo,-23.55,-46.64
2018,41,26,124,85,317,292,1070,350,598,27,16,73,São Paulo,-23.55,-46.64
2019,90,35,85,78,81,290,393,742,872,308,60,40,São Paulo,-23.55,-46.64
2020,69,103,127,252,262,262,558,1111,2254,995,115,15,São Paulo,-23.55,-46.64
2021,29,72,98,69,140,136,808,2277,1663,95,41,41,São Paulo,-23.55,-46.64
2022,76,120,64,47,139,90,345,315,258,18,0,0,São Paulo,-23.55,-46.64
2017,178,44,32,90,157,644,1973,3001,9243,4538,2706,2970,Maranhão,-2.55,-44.3
2018,281,15,93,50,203,738,1457,2833,3177,1832,2309,904,Maranhão,-2.55,-44.3
2019,712,74,57,63,139,749,1078,3366,3667,3645,3158,1813,Maranhão,-2.55,-44.3
2020,86,72,39,93,231,757,1871,2162,4403,3394,2481,1228,Maranhão,-2.55,-44.3
2021,228,128,62,96,471,979,1507,3322,2469,3069,2502,1244,Maranhão,-2.55,-44.3
2022,185,92,44,66,454,917,2170,3473,4166,1172,0,0,Maranhão,-2.55,-44.3
2017,27,13,3,6,2,2,3,14,28,84,103,66,Rio Grande do Norte,-5.22,-36.52
2018,23,6,12,3,1,6,8,47,71,87,128,64,Rio Grande do Norte,-5.22,-36.52
2019,20,5,2,1,0,1,4,52,81,235,230,99,Rio Grande do Norte,-5.22,-36.52
2020,37,5,3,2,0,1,7,30,106,175,143,155,Rio Grande do Norte,-5.22,-36.52
2021,63,39,16,10,7,14,7,21,38,122,136,90,Rio Grande do Norte,-5.22,-36.52
2022,15,3,3,1,2,2,1,13,46,23,0,0,Rio Grande do Norte,-5.22,-36.52
2017,53,64,45,103,47,138,708,789,1120,108,319,98,Paraná,-24.89,-51.55
2018,16,75,21,158,241,158,481,672,310,112,116,151,Paraná,-24.89,-51.55
2019,92,24,45,59,47,266,418,1144,731,310,97,81,Paraná,-24.89,-51.55
2020,39,49,147,309,319,238,337,801,702,352,186,40,Paraná,-24.89,-51.55
2021,16,103,77,228,280,106,598,1195,725,55,210,105,Paraná,-24.89,-51.55
2022,55,92,39,61,123,110,311,509,85,32,0,0,Paraná,-24.89,-51.55
2017,91,10,4,3,6,6,15,98,336,793,953,1171,Ceará,-3.71,-38.54
2018,166,6,8,1,2,17,29,202,429,591,860,723,Ceará,-3.71,-38.54
2019,194,12,3,1,3,9,18,138,460,1373,1324,769,Ceará,-3.71,-38.54
2020,94,8,2,0,3,12,63,209,440,913,1279,956,Ceará,-3.71,-38.54
2021,187,64,13,6,13,25,35,258,411,905,1680,782,Ceará,-3.71,-38.54
2022,37,21,8,1,3,15,37,140,209,129,0,0,Ceará,-3.71,-38.54
2017,108,124,251,75,27,4,3,33,40,150,421,329,Roraima,1.89,-61.22
2018,480,558,727,191,10,5,4,7,17,141,120,123,Roraima,1.89,-61.22
2019,383,629,2433,1134,21,2,4,5,26,53,58,36,Roraima,1.89,-61.22
2020,297,483,695,165,11,4,9,14,62,113,19,58,Roraima,1.89,-61.22
2021,63,137,204,110,3,11,5,19,54,125,174,84,Roraima,1.89,-61.22
2022,371,148,81,7,11,9,12,40,92,7,0,0,Roraima,1.89,-61.22
2017,457,295,698,708,844,1476,2100,4578,14840,3738,928,249,Mato Grosso,-12.64,-55.42
2018,317,266,766,426,985,1623,1816,2650,6638,1711,363,471,Mato Grosso,-12.64,-55.42
2019,576,709,1188,708,1118,2151,2326,8030,10747,1774,1176,666,Mato Grosso,-12.64,-55.42
2020,768,806,1270,992,951,1960,2429,10430,20312,5259,1919,612,Mato Grosso,-12.64,-55.42
2021,479,578,518,631,1149,2185,1715,6617,5602,2358,443,245,Mato Grosso,-12.64,-55.42
2022,556,472,543,526,2533,2210,1919,7699,8876,599,0,0,Mato Grosso,-12.64,-55.42
